ward,population_2012
Babayu,10126
Badi,16131
Badugu,13571
Bahi,18293
Bangwe,15453
Bariadi,11248
Berege,10931
Bereko,7226
Biirabo,18900
Bonde la Songwe,18487
Bubiki,20038
Buchambi,13520
Budekwa,13630
Budushi,6940
Bugandika,9444
Buganguzi,10562
Bugarama,18271
Bugene,15867
Bugomora,11144
Bugorora,6905
Buhendangabo,7724
Buhingo,13871
Buhongwa,26681
Bujashi,12881
Bujonde,7528
Bujugo,7140
Bukene,7641
Bukiriro,19875
Bukoko,15985
Bukoli,16345
Bukombe,11706
Bukome,16933
Bukondo,13371
Bukumbi,26368
Bukundi,10759
Bukwimba,17335
Bulige,10505
Bulongwa,3824
Bulungwa,24642
Bulyakashaju,9951
Bumbuta,8602
Bumera,9601
Bumilayinga,6136
Bunamhala,28301
Bungulwa,10361
Bupamwa,17366
Bupigu,6145
Bureza,7472
Burungura,13354
Busanda,15490
Busangi,11507
Buseresere,29055
Busi,18724
Busilili,15797
Busisi,16839
Busolwa,16894
Busongo,9022
Buswelu,22897
Butimba,46944
Buyagu,15483
Buyango,8878
Buziku,15757
Buzilasoga,13348
Bwanga,36763
Bwanjai,8298
Bwera,9697
Bweranyange,18629
Chabutwa,6264
Chalangwa,8013
Chali,11300
Chambo,14516
Chamkoroma,14675
Chandama,18705
Changaa,9634
Chato,17508
Chela,20760
Chemba,16047
Chemchem,7914
Chibe,5840
Chibelela,10033
Chifunfu,23381
Chigunga,27456
Chihanga,11004
Chikola,13668
Chilulumo,11177
Chimala,16633
Chinamili,15393
Chinugulu,5216
Chipanga,9654
Chitete,8673
Chiwezi,25060
Chokaa,15227
Choma,17323
Chona,18481
Chunyu,11593
Dabalo,16115
Dakama,14596
Dalai,15078
Didia,10666
Dutwa,15792
Farkwa,9991
Fufu,3469
Fukalo,17534
Galula,8440
Gera,4831
Goima,12261
Gongoni,8064
Goweko,13808
Gua,6533
Gumbiro,5716
Gungu,25224
Gwandi,7971
Halungu,27151
Handali,9854
Haneti,13128
Haubi,13757
Hogoro,17129
Hombolo,22457
Hungumalwa,16508
Huzi,7589
Ibadakuli,12537
Ibihwa,11060
Ibiri,17323
Ibugule,8046
Ibwera,9456
Ichemba,17750
Ichwankima,7307
Idahina,23937
Idetemya,15387
Idifu,9609
Idunda,6110
Iduo,11197
Ifumbo,6541
Igale,10864
Igalukilo,12421
Igalula,14571
Igamba,34822
Igandu,14880
Igigwa,28881
Igogo,27303
Igombe Mkulu,17308
Igongwa,11705
Igoweko,27317
Igowole,13459
Igunga,51172
Igurubi,11664
Igurusi,22296
Igurwa,10525
Igusule,16690
Igwamanoni,14901
Ihalimba,11205
Ihanamilo,9710
Ihanda,21355
Ihango,8342
Ihembe,8846
Ihowanza,10756
Ijanija,9873
Ijombe,10185
Ijumbi,13178
Ikama,4724
Ikindwa,9698
Ikinga,7824
Ikolo,5140
Ikondo,6312
Ikongolo,13644
Ikowa,6325
Ikunguigazi,8053
Ikungulyabashashi,10153
Ikuti,13035
Ikuwo,3648
Ikweha,8213
Ilembo,17391
Ilemela,43244
Ilima,6737
Ilindi,9440
Ilola,10068
Ilolangulu,11703
Ilongero,10635
Ilujamate,15195
Ilungu,12095
Imalamakoye,2984
Imalaseko,6587
Imesela,9052
Iniho,3720
Inyala,10544
Ipala,6026
Ipande,8081
Ipelele,4890
Ipepo,5020
Ipera,12870
Ipililo,18894
Ipinda,20847
Ipole,5838
Iponya,13417
Ipuli,23444
Isagehe,10828
Isagenhe,10059
Isaka,21690
Isakamaliwa,8861
Isalavanu,7483
Isandula,14549
Isanga,11307
Isange,5790
Isansa,42891
Isanzu,12508
Iselamagazi,18465
Iseni,10349
Isevya,13507
Ishozi,7194
Ishunju,3479
Isikizya,11129
Isingiro,16705
Isongole,18689
Isuto,13958
Itaka,21032
Itandula,11866
Itete,20755
Itetemia,4549
Itewe,8341
Itilima,12214
Itilo,14668
Itinje,14836
Itiso,12636
Itobo,9411
Itonjanda,2714
Itumba,10186
Itundu,6891
Itunduru,11632
Itwangi,10037
Ivuna,31254
Iwawa,10176
Iwiji,15056
Iwindi,18397
Iyula,30784
Iyunga mapinduzi,7377
Izia,19463
Izigo,10843
Izimbya,10054
Jana,16099
Jangalo,17764
Kaagya,11413
Kabanga,22010
Kabita,22772
Kabula,10271
Kachwamba,6996
Kadoto,11916
Kafita,11846
Kafule,7450
Kafunzo,10743
Kagoma,7011
Kagondo,4170
Kagu,24920
Kagunga,16972
Kahangara,19378
Kahororo,6618
Kaibanja,13905
Kaisho,12878
Kajunjumele,8240
Kakola,3470
Kakora,16133
Kakunyu,20133
Kalamba,13988
Kalangalala,99795
Kalebezo,18960
Kalemela,10928
Kalenge,34147
Kaliua,17073
Kalunde,8113
Kamachumu,17567
Kambikatoto,7091
Kamena,21700
Kamhanga,16727
Kamsamba,17055
Kamuli,20074
Kanazi,17937
Kandete,10284
Kanga,21018
Kanindo,22561
Kanyangereko,10166
Kanyelele,14371
Kanyenye,10063
Kanyigo,10168
Kapalala,8089
Kapele,11690
Kapilula,4385
Karambi,19059
Karitu,8344
Kasamwa,24461
Kasanga,6558
Kasela,9259
Kaseme,24957
Kasharu,7764
Kasharunga,24272
Kashasha,11021
Kashenye,5657
Kashishi,16805
Kasimbu,4910
Kasingirima,2867
Kasoli,14442
Kasololo,15896
Kassambya,26633
Kasungamile,15599
Katende,4139
Katerero,5884
Katoma,6762
Katoro,13648
Katunguru,20284
Katwe,24167
Kayanga,18968
Kazaroho,14499
Kazunzu,14063
Keza,9525
Kharumwa,13480
Kibaigwa,24761
Kibakwe,16705
Kibanga,10432
Kibengu,15806
Kibeta,8088
Kibimba,12778
Kibingo,20572
Kibirizi,25143
Kibondo,39300
Kigongo,23718
Kigwe,15559
Kihanga,18202
Kijima,12034
Kikombo,8343
Kikomero,6165
Kikore,13044
Kikubiji,22032
Kilagano,12479
Kilago,11118
Kilema kaskazini,9669
Kiloleli,7525
Kiloleni,8372
Kiloli,4689
Kimagai,7340
Kimuli,17926
Kimwani,20161
Kinaga,14841
Kinamapula,12695
Kinang'weli,12315
Kingale,11003
Kinungu,11565
Kinyala,12871
Kipanga,9067
Kipili,20197
Kiruruma,34945
Kirushya,10628
Kisegese,5511
Kisesa,30486
Kisese,12989
Kishanda,17753
Kishanje,8381
Kishapu,19347
Kisondela,11070
Kisuke,10467
Kitangili,8338
Kitete,10247
Kitobo,7327
Kitongo Sima,13540
Kitulo,3469
Kitunda,57132
Kituntu,8444
Kiwira,25244
Kiyowela,7540
Kizengi,21356
Kizumbi,11264
Kolandoto,11301
Kolo,5243
Kongolo,10309
Koromije,13686
Kulimi,14383
Kwadelo,11593
Kwamtoro,9785
Kyaka,13190
Kyebitembe,25460
Kyerwa,21605
Kyimo,14033
Lagana,10020
Lagangabilili,12909
Lalago,23391
Lalta,11832
Lamaiti,12268
Levolosi,8838
Lilambo,11981
Lingeka,6803
Litisha,14362
Loya,24925
Luana,4570
Lubanga,11980
Lubiga,16351
Lufilyo,6370
Lufingo,17166
Lugata,25593
Lugulu,6460
Lugunga,14982
Luhundwa,12161
Luhunga,9568
Lumuma,3783
Lunguya,19307
Lupalilo,4527
Lupata,9090
Lupila,5004
Lusahunga,37234
Lusu,18957
Lusungo,6354
Luswisi,4632
Lutale,12307
Lutende,25103
Luwalaje,4305
Lwamgasa,29148
Lwangwa,10668
Lyabukande,19492
Lyoma,12561
Mabama,20384
Mabawe,12823
Mabira,21529
Madibira,24742
Mafyeko,9409
Magagura,16018
Magengati,12430
Magiri,13705
Mahanje,11997
Mahongole,11744
Majeleko,6886
Majengo,5214
Makanda,7896
Makang'wa,20337
Makorongo,15162
Makurugusi,28772
Makutopora,6635
Makwale,12654
Malampaka,16445
Malangali,5849
Maligisu,20788
Malili,17084
Malolo,5306
Malunga,10225
Malya,15437
Mamba,11359
Mambali,33377
Manchali,10485
Manda,9874
Mantare,11599
Manzase,11485
Mapogoro,24754
Maposeni,5795
Maruku,9202
Masanga,14444
Masange,5388
Masela,12380
Massa,12561
Masukulu,5795
Masumbwe,18716
Matamba,10441
Matanga,9521
Matema,17103
Matimira,11397
Matogoro,5127
Matomondo,17131
Matwiga,8939
Mawindi,9917
Mazae,8021
Mazwi,6197
Mbabala,11901
Mbalamaziwa,8021
Mbalawala,8830
Mbangala,5622
Mbarika,15216
Mbebe,9282
Mbita,12623
Mbogwe,6535
Mbuga,5813
Mbugani,8734
Mbutu,17468
Mbuyuni,11786
Mdabulo,9342
Membe,8726
Mfumbi,4718
Mhande,19629
Mhango,11253
Mhongolo,15427
Mhunze,11835
Miguwa,13314
Mikoni,8004
Milambo,25933
Milanzi,13482
Mima,14435
Minziro,9951
Misasi,16574
Misha,6234
Mizibaziba,11606
Mkoka,11925
Mkolani,32199
Mkonze,12515
Mkula,9090
Mkwajuni,15292
Mlali,19623
Mlangali,19539
Mletele,5331
Mlondwe,3937
Mlowa Bwawani,9031
Mlowo,38016
Mlunduzi,9668
Mnenia,11528
Mninga,14799
Mogwa,12140
Mollo,15707
Mondo,9494
Mpalanga,10228
Mpamantwa,12984
Mpendo,6997
Mpindo,12111
Mpitimbi,14554
Mpuguso,13969
Mpunguzi,17891
Mpunze,9338
Mrijo,13104
Msalato,6718
Msamalo,14142
Msanga,9663
Msangano,15770
Mshangano,8205
Mshewe,11241
Msia,27361
Msisi,11847
Mtakuja,25227
Mtambula,10477
Mtanana,12559
Mtanila,8711
Mtitaa,8604
Mtumba,17268
Mtwango,17073
Mubunda,16724
Muganza,17940
Mugoma,13493
Muhukuru,16579
Muhutwe,11491
Muleba,18464
Mundemu,8149
Murongo,15044
Murusagamba,18093
Muungano,10745
Mvumi Makulu,7460
Mvumi Mission,16514
Mwabomba,10096
Mwabuma,15577
Mwabusalu,11894
Mwabuzo,12272
Mwadobana,25778
Mwagi,11325
Mwakilyambiti,16079
Mwakipoya,10040
Mwakitolyo,20191
Mwalugulu,18054
Mwamabanza,7380
Mwamala,15620
Mwamalasa,13195
Mwamalili,7100
Mwamalole,9546
Mwamanga,12847
Mwamanongu,7961
Mwamapalala,16091
Mwamashele,8812
Mwamashiga,10041
Mwamashimba,14730
Mwamishali,12909
Mwandoya,17720
Mwandu,11132
Mwang'halanga,11099
Mwanga Kaskazini,24184
Mwangoye,13149
Mwaniko,7741
Mwantini,6693
Mwashiku,16234
Mwaswale,14411
Mwaubingi,15780
Mwawaza,5665
Mwaya,8763
Mwendakulima,13711
Mwingiro,8382
Mwisi,10872
Mwitikira,7235
Mwongozo,9431
Myovizi,15738
Myunga,11591
Nala,5567
Nambinzo,25951
Nanga,14835
Nata,14428
Ndala,17567
Ndalambo,11693
Ndama,11887
Ndembezi,12724
Ndevelwa,8112
Ndola,6820
Ndono,9382
Ng'ambo,7890
Ng'haya,20024
Ng'hoboko,12087
Ng'hundi,9255
Ngana,7944
Ngasamo,18935
Ngaya,12681
Ngenge,20339
Nghambaku,7339
Ngofila,10598
Ngokolo,19658
Ngonga,8310
Ngudu,27630
Ngulla,12692
Ngulu,8470
Ngwala,3017
Nhundulu,20236
Njoge,10063
Nkangamo,12996
Nkinga,21608
Nkiniziwa,19898
Nkololo,21776
Nkoma,21450
Nkome,32726
Nkungulu,23539
Nkwenda,22421
Nondwa,15369
Nshamba,24432
Nsunga,19001
Ntendo,13324
Ntobeye,15758
Ntobo,9715
Nyabiyonza,10748
Nyabubinza,9913
Nyabusozi,23988
Nyachiluluma,19898
Nyaishozi,12782
Nyakabindi,19723
Nyakagomba,19206
Nyakahanga,20284
Nyakahura,26123
Nyakakika,16605
Nyakamwaga,19618
Nyakasasa,21941
Nyakasimbi,12803
Nyakasungwa,20817
Nyakato,14414
Nyakibimbili,8341
Nyakisasa,19211
Nyalikungu,14354
Nyaluhande,9688
Nyamalimbe,15761
Nyamatongo,26707
Nyambiti,13731
Nyamigogo,15583
Nyamilama,7611
Nyamirembe,15643
Nyamiyaga,8381
Nyandekwa,9553
Nyang'hwale,9355
Nyanga,3129
Nyanguge,14449
Nyanzenda,20654
Nyarubungo,28426
Nyasato,11039
Nyehunge,35726
Nyigogo,25202
Nyimbili,23903
Nyololo,11979
Nyugwa,12742
Nzega ndogo,8726
Nzera,20321
Nzuguni,15466
Old Sumbawanga,23298
Ovada,11648
Pahi,13944
Pandagichiza,11082
Pandambili,8004
Pangale,6983
Paranga,12297
Pasiansi,35723
Pito,15561
Puge,12985
Ruanda,7374
Rubafu,8442
Rubale,8901
Rubuga,2634
Rudi,10029
Rugu,14160
Ruhanga,7518
Ruhunga,10155
Ruhuwiko,7377
Ruiwa,15867
Rujewa,29473
Rulenge,17313
Runazi,14472
Rungemba,6120
Rusimbi,6779
Rusumo,12925
Ruvuma,13543
Ruzinga,3293
Sadani,8585
Sagara,22066
Sagata,18650
Saja,11469
Sakasaka,11756
Sakwe,25676
Salawe,17247
Samuye,11080
Sangabuye,21116
Sange,4757
Santilya,17578
Sanzawa,10613
Sapiwi,19356
Segala,12791
Segese,18364
Sejeli,19097
Semembela,17114
Senga,6793
Shabaka,14341
Shagihilu,13126
Shigala,12974
Shigamba,4600
Shilalo,13205
Shishani,15302
Shishiyu,24695
Shitage,10221
Sigili,9754
Sikonge,17140
Sima,15477
Simbo,14803
Soera,7616
Solwa,22218
Somanda,16592
Songambele,17712
Songwa,19257
Sukuma,18599
Suma,6256
Sumbugu,14100
Sumve,16436
Suruke,3545
Tabaruka,9747
Talaga,9773
Tambukareli,6584
Tanga,8754
Tembela,10710
Thawi,10799
Tinde,14978
Tongi,17151
Tumbi,11650
Tunduma,97562
Tutuo,14641
Ubaruku,29197
Uchunga,16406
Uduka,4832
Ugogoni,17048
Ugunga,13551
Ukenyenge,15304
Ukiriguru,10271
Ukondamoyo,13462
Ukumbisiganga,8837
Ukune,11717
Ukwama,3529
Ulenje,6946
Ulowa,19230
Upuge,6463
Urambo,34176
Usagara,10330
Usanda,13715
Ushetu,17538
Ushirika,11622
Ushirombo,6040
Ushokola,14950
Usinge,42323
Usisya,13901
Ussoke,8797
Usule,5945
Utengule Usangu,15407
Utengule Usongwe,41952
Utete,5878
Utwigu,22743
Uyogo,18897
Uyovu,29909
Uyowa,16475
Uyui,6262
Uyumbu,12217
Vumilia,10258
Wela,7031
Wino,12298
Wotta,13340
Zagayu,14737
Zanka,9886
Ziba,18893
Zoissa,6105
Zongomera,10438
Zuzu,6485
